field_name,date,raw_path,annotated_path,changed_pixel_percent,brush_pixel_percent,num_components,extraction_status,notes
Mallard-Avenue,2026-05-12,D:\NDVI-dataset\raw-ndvi\Strawberry_1\Mallard-Avenue-5-12-2026-orthophoto-NDVI.png,D:\NDVI-dataset\human-Annotated-ndvi\Mallard-Avenue-5-12-2026-orthophoto-NDVI-annoated-png.png,12.664411,6.043288,12,success,"Brush marks transferred from raw-vs-annotated difference. No NDVI thresholding used. {""adaptive_threshold"": 45, ""changed_pixel_percent"": 12.664411, ""brush_pixel_percent_processing_space"": 6.045763, ""num_components"": 12, ""processing_size"": [2200, 1619], ""scale_x"": 1.5727272727272728, ""scale_y"": 1.573193329215565, ""raw_ndvi_thresholding_used"": false}"
Mallard-Avenue,2026-05-18,D:\NDVI-dataset\raw-ndvi\Strawberry_1\Mallard-Avenue-5-18-2026-orthophoto-NDVI.tif,D:\NDVI-dataset\human-Annotated-ndvi\Mallard-Avenue-5-18-2026-orthophoto-NDVI-annotated.png,12.945308,4.433834,20,success,"Brush marks transferred from raw-vs-annotated difference. No NDVI thresholding used. {""adaptive_threshold"": 45, ""changed_pixel_percent"": 12.945308, ""brush_pixel_percent_processing_space"": 4.413967, ""num_components"": 20, ""processing_size"": [2200, 1678], ""scale_x"": 1.5259090909090909, ""scale_y"": 1.5262216924910608, ""raw_ndvi_thresholding_used"": false}"
Mallard-Avenue,2026-05-22,D:\NDVI-dataset\raw-ndvi\Strawberry_1\Mallard-Avenue-5-22-2026-orthophoto-NDVI.png,D:\NDVI-dataset\human-Annotated-ndvi\Mallard-Avenue-5-22-2026-orthophoto-NDVI-annotated.png,12.997404,5.443341,22,success,"Brush marks transferred from raw-vs-annotated difference. No NDVI thresholding used. {""adaptive_threshold"": 45, ""changed_pixel_percent"": 12.997404, ""brush_pixel_percent_processing_space"": 5.436065, ""num_components"": 22, ""processing_size"": [2200, 1611], ""scale_x"": 1.559090909090909, ""scale_y"": 1.5592799503414028, ""raw_ndvi_thresholding_used"": false}"
Mallard-Avenue,2026-05-29,D:\NDVI-dataset\raw-ndvi\Strawberry_1\Mallard-Avenue-5-29-2026-orthophoto-NDVI.png,D:\NDVI-dataset\human-Annotated-ndvi\Mallard-Avenue-5-29-2026-orthophoto-NDVI-user annotated.png,12.371166,3.567217,15,success,"Brush marks transferred from raw-vs-annotated difference. No NDVI thresholding used. {""adaptive_threshold"": 45, ""changed_pixel_percent"": 12.371166, ""brush_pixel_percent_processing_space"": 3.567054, ""num_components"": 15, ""processing_size"": [2200, 1793], ""scale_x"": 1.3131818181818182, ""scale_y"": 1.313441160066927, ""raw_ndvi_thresholding_used"": false}"
McIntyre-Road,2026-05-08,D:\NDVI-dataset\raw-ndvi\Strawberry_1\McIntyre-Road-5-8-2026-orthophoto-NDVI.jpg,D:\NDVI-dataset\human-Annotated-ndvi\McIntyre-Road-5-8-2026-orthophoto-NDVI-annotated.png,0.479093,1.463873,26,success,"Brush marks transferred from raw-vs-annotated difference. No NDVI thresholding used. {""adaptive_threshold"": 45, ""changed_pixel_percent"": 0.479093, ""brush_pixel_percent_processing_space"": 1.461685, ""num_components"": 26, ""processing_size"": [2200, 1598], ""scale_x"": 6.047727272727273, ""scale_y"": 6.046933667083855, ""raw_ndvi_thresholding_used"": false}"
McIntyre-Road,2026-05-27,D:\NDVI-dataset\raw-ndvi\Strawberry_1\McIntyre-Road-5-27-2026-orthophoto-NDVI.jpg,D:\NDVI-dataset\human-Annotated-ndvi\McIntyre-Road-5-27-2026-orthophoto-NDVI-annotated.png,1.335002,2.393213,14,success,"Brush marks transferred from raw-vs-annotated difference. No NDVI thresholding used. {""adaptive_threshold"": 45, ""changed_pixel_percent"": 1.335002, ""brush_pixel_percent_processing_space"": 2.42007, ""num_components"": 14, ""processing_size"": [2200, 1743], ""scale_x"": 1.2922727272727272, ""scale_y"": 1.2925989672977625, ""raw_ndvi_thresholding_used"": false}"
