field_name,date,growth_stage,low_vigour_percent,medium_vigour_percent,high_vigour_percent,low_plus_medium_vigour_percent,trend_from_previous,highest_priority_area,raw_ndvi_path,annotated_image_path,extraction_status,notes
Mallard-Avenue,2026-05-12,Bloom to fruit set,24.72,45.07,30.20,69.80,first_observation,lower-field area,D:\NDVI-dataset\raw-ndvi\Strawberry_1\Mallard-Avenue-5-12-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-12-2026-orthophoto-NDVI-annotated.png,success,Classified from human annotation colors after raw-vs-annotated comparison. Raw NDVI was background only.
Mallard-Avenue,2026-05-18,Green fruit development,10.46,39.85,49.69,50.31,decreased,central-right field area,D:\NDVI-dataset\raw-ndvi\Strawberry_1\Mallard-Avenue-5-18-2026-orthophoto-NDVI.tif,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-18-2026-orthophoto-NDVI-annotated.png,success,Classified from human annotation colors after raw-vs-annotated comparison. Raw NDVI was background only.
Mallard-Avenue,2026-05-22,Fruit sizing / early ripening,6.50,11.57,81.93,18.07,decreased,lower-field area,D:\NDVI-dataset\raw-ndvi\Strawberry_1\Mallard-Avenue-5-22-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-22-2026-orthophoto-NDVI-annotated.png,success,Classified from human annotation colors after raw-vs-annotated comparison. Raw NDVI was background only.
Mallard-Avenue,2026-05-29,Harvest-time ripening,32.11,24.57,43.32,56.68,increased,lower-field area,D:\NDVI-dataset\raw-ndvi\Strawberry_1\Mallard-Avenue-5-29-2026-orthophoto-NDVI.png,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\Mallard-Avenue-5-29-2026-orthophoto-NDVI---annotated-output.png,success,Classified from human annotation colors after raw-vs-annotated comparison. Raw NDVI was background only.
McIntyre-Road,2026-05-27,Ripening / early harvest window,9.17,27.85,62.98,37.02,first_observation,lower-field area,D:\NDVI-dataset\raw-ndvi\Strawberry_1\McIntyre-Road-5-27-2026-orthophoto-NDVI.jpg,C:\Users\Chimera\Downloads\Strawberry 1 - annotated\McIntyre-Road-5-27-2026-orthophoto-NDVI-annotated.png,success,Classified from human annotation colors after raw-vs-annotated comparison. Raw NDVI was background only.
