date,growth_stage,print_output_exists,viewer_assets_exist,temporal_analytics_exists,timeline_chart_exists,default_layers,status,note
2026-05-08,Bloom / early fruit set,True,True,True,True,Raw NDVI + Human Annotation,PASS,Human-Anchored Vigour Review; scouting prioritization only.
2026-05-12,Bloom to fruit set,True,True,True,True,Raw NDVI + Human Annotation,PASS,Human-Anchored Vigour Review; scouting prioritization only.
2026-05-18,Green fruit development,True,True,True,True,Raw NDVI + Human Annotation,PASS,Human-Anchored Vigour Review; scouting prioritization only.
2026-05-22,Fruit sizing / early ripening,True,True,True,True,Raw NDVI + Human Annotation,PASS,Human-Anchored Vigour Review; scouting prioritization only.
2026-05-27,Ripening / early harvest window,True,True,True,True,Raw NDVI + Human Annotation,PASS,Human-Anchored Vigour Review; scouting prioritization only.
2026-05-29,Harvest-time ripening,True,True,True,True,Raw NDVI + Human Annotation,PASS,Human-Anchored Vigour Review; scouting prioritization only.
2026-06-04,Late harvest / post-harvest review,True,True,True,True,Raw NDVI + Human Annotation,PASS,Human-Anchored Vigour Review; scouting prioritization only.
