record_id,field_name,field_unit_id,date_observed,days_since_first_field_observation,raw_ndvi_path,annotated_ndvi_path,rgb_path,has_rgb,has_ndvi,has_existing_annotation,crop,zone_id,zone_description,observer_name,annotation_status,human_disease_score_0_to_5,ndvi_stress_score_0_to_5,visual_progression_state,ndvi_progression_state,overall_progression_state,visible_symptoms,lesion_presence,lesion_severity,lesion_area_percent_estimate,chlorosis_presence,necrosis_presence,wilting_presence,weak_growth_presence,bare_soil_presence,missing_crop_presence,weed_pressure_presence,irrigation_or_drip_issue,localized_or_fieldwide,spread_direction,confidence_0_to_5,ground_truth_note,farmer_note,treatment_note,recommended_action,priority,needs_ground_inspection,needs_refly,reviewed_by,review_date,notes
Mallard_Avenue_2026_05_12,Mallard-Avenue,Mallard-Avenue,2026-05-12,0,raw-ndvi\Strawberry_1\Mallard-Avenue-5-12-2026-orthophoto-NDVI.png,human-Annotated-ndvi\Mallard-Avenue-5-12-2026-orthophoto-NDVI-annoated-png.png,,no,yes,yes,strawberry,whole_field,Whole-field Level 2 review row. Add stable repeatable zone rows later for Level 3 expansion.,,not_started,,,unknown,unknown,unknown,,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,medium,unknown,unknown,,,
Mallard_Avenue_2026_05_18,Mallard-Avenue,Mallard-Avenue,2026-05-18,6,raw-ndvi\Strawberry_1\Mallard-Avenue-5-18-2026-orthophoto-NDVI.tif,human-Annotated-ndvi\Mallard-Avenue-5-18-2026-orthophoto-NDVI-annotated.png,,no,yes,yes,strawberry,whole_field,Whole-field Level 2 review row. Add stable repeatable zone rows later for Level 3 expansion.,,not_started,,,unknown,unknown,unknown,,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,medium,unknown,unknown,,,
Mallard_Avenue_2026_05_22,Mallard-Avenue,Mallard-Avenue,2026-05-22,10,raw-ndvi\Strawberry_1\Mallard-Avenue-5-22-2026-orthophoto-NDVI.png,human-Annotated-ndvi\Mallard-Avenue-5-22-2026-orthophoto-NDVI-annotated.png,,no,yes,yes,strawberry,whole_field,Whole-field Level 2 review row. Add stable repeatable zone rows later for Level 3 expansion.,,not_started,,,unknown,unknown,unknown,,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,medium,unknown,unknown,,,
Mallard_Avenue_2026_05_29,Mallard-Avenue,Mallard-Avenue,2026-05-29,17,raw-ndvi\Strawberry_1\Mallard-Avenue-5-29-2026-orthophoto-NDVI.png,human-Annotated-ndvi\Mallard-Avenue-5-29-2026-orthophoto-NDVI-user annotated.png,,no,yes,yes,strawberry,whole_field,Whole-field Level 2 review row. Add stable repeatable zone rows later for Level 3 expansion.,,not_started,,,unknown,unknown,unknown,,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,medium,unknown,unknown,,,
McIntyre_Road_2026_05_08,McIntyre-Road,McIntyre-Road,2026-05-08,0,raw-ndvi\Strawberry_1\McIntyre-Road-5-8-2026-orthophoto-NDVI.jpg,human-Annotated-ndvi\McIntyre-Road-5-8-2026-orthophoto-NDVI-annotated.png,,no,yes,yes,strawberry,whole_field,Whole-field Level 2 review row. Add stable repeatable zone rows later for Level 3 expansion.,,not_started,,,unknown,unknown,unknown,,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,medium,unknown,unknown,,,
McIntyre_Road_2026_05_27,McIntyre-Road,McIntyre-Road,2026-05-27,19,raw-ndvi\Strawberry_1\McIntyre-Road-5-27-2026-orthophoto-NDVI.jpg,human-Annotated-ndvi\McIntyre-Road-5-27-2026-orthophoto-NDVI-annotated.png,,no,yes,yes,strawberry,whole_field,Whole-field Level 2 review row. Add stable repeatable zone rows later for Level 3 expansion.,,not_started,,,unknown,unknown,unknown,,unknown,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,,,,,medium,unknown,unknown,,,
